Branch	Semester	Batch	USN	Student Name	Gender	Admission Quota	Admission Type	Actual Category	Seat Category Claimed	Seat Category Alloted	Domicile of State	Domicile Place	CET/COMEDK/DCET Rank
CSE	V	2000	1JB00CS001	Student 1	Male	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS001	Student 2	Female	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA		102385
CSE	V	2003	1JB03CS002	Student 3	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	RAMANAGARA	22406
CSE	V	2003	1JB03CS003	Student 4	Male	CET	REGULAR	3B	3B	GM	KARNATAKA		15506
CSE	V	2003	1JB03CS004	Student 5	Male	COMED-K	REGULAR	2A	GM	GM	KARNATAKA	UTTARA KANNADA	25004
CSE	V	2003	1JB03CS005	Student 6	Male	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS006	Student 7	Female	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	MAHARASHTRA	24585
CSE	V	2003	1JB03CS007	Student 8	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	22709
CSE	V	2003	1JB03CS008	Student 9	Male	CET	REGULAR	ST	ST	STG	KARNATAKA	HASSAN	54082
CSE	V	2003	1JB03CS009	Student 10	Female	CET	REGULAR	3B	3BG	GM	KARNATAKA	CHIKKAMANGALURU	14977
CSE	V	2003	1JB03CS010	Student 11	Male	CET	REGULAR	SCG	SCG	SCG	KARNATAKA	CHIKKABALLAPUR	55582
CSE	V	2003	1JB03CS011	Student 12	Female	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS012	Student 13	Female	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	21489
CSE	V	2003	1JB03CS013	Student 14	Male	CET	REGULAR	SCG	SCG	SCG	KARNATAKA	CHIKKABALLAPUR	39162
CSE	V	2003	1JB03CS014	Student 15	Male	COMED-K	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	18438
CSE	V	2003	1JB03CS015	Student 16	Male	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS016	Student 17	Male	COMED-K	REGULAR	3B	GM	GM	KARNATAKA		23677
CSE	V	2003	1JB03CS017	Student 18	Female	CET	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	13606
CSE	V	2003	1JB03CS018	Student 19	Female	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	24693
CSE	V	2003	1JB03CS019	Student 20	Female	CET	REGULAR	3B	3BGR	GMR	KARNATAKA	CHITRADURGA	19348
CSE	V	2003	1JB03CS020	Student 21	Female	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	UTTARPRADESH	24820
CSE	V	2003	1JB03CS021	Student 22	Female	CET	REGULAR	3BG	3BG	3AG	KARNATAKA	BENGALURU URBAN	14688
CSE	V	2003	1JB03CS022	Student 23	Female	CET	REGULAR	2B	2BG	2BG	KARNATAKA	BAGALKOT	20368
CSE	V	2003	1JB03CS023	Student 24	Male	CET	REGULAR	GM	GM	GM	KARNATAKA		13264
CSE	V	2003	1JB03CS024	Student 25	Female	CET	REGULAR	SC	SCG	SCG	KARNATAKA	TUMAKURU	54337
CSE	V	2003	1JB03CS025	Student 26	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	MAHARASHTRA	20376
CSE	V	2003	1JB03CS026	Student 27	Female	CET	REGULAR	3A	3AG	GM	KARNATAKA	TUMAKURU	14643
CSE	V	2003	1JB03CS027	Student 28	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA		73195
CSE	V	2003	1JB03CS028	Student 29	Female	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA	BENGALURU URBAN	76836
CSE	V	2003	1JB03CS029	Student 30	Male	CET	REGULAR	SC	SCGR	SCR	KARNATAKA	CHIKKAMANGALURU	57672
CSE	V	2003	1JB03CS030	Student 31	Male	CET	REGULAR	3A	GM	3AG	KARNATAKA	TUMAKURU	14486
CSE	V	2003	1JB03CS031	Student 32	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	35597
CSE	V	2003	1JB03CS032	Student 33	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		20797
CSE	V	2003	1JB03CS033	Student 34	Female	MANAGEMENT	REGULAR	1G	1G	1G	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS034	Student 35	Female	CET	REGULAR	3A	3AGH	GM	KARNATAKA	BELLARY	15173
CSE	V	2003	1JB03CS035	Student 36	Male	CET	REGULAR	3B	3BG	3BG	KARNATAKA		18034
CSE	V	2003	1JB03CS036	Student 37	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	133040
CSE	V	2003	1JB03CS037	Student 38	Male	CET	REGULAR	SC	SC	SCG	KARNATAKA	BENGALURU URBAN	55393
CSE	V	2003	1JB03CS038	Student 39	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	21430
CSE	V	2003	1JB03CS039	Student 40	Male	CET	REGULAR	SC	SCG	SCG	KARNATAKA	BENGALURU URBAN	27246
CSE	V	2003	1JB03CS040	Student 41	Male	CET	REGULAR	GM	GM	GM	KARNATAKA	KOLAR	14292
CSE	V	2003	1JB03CS041	Student 42	Female	CET	REGULAR	2A	2A	2A	KARNATAKA	CHITRADURGA	19369
CSE	V	2003	1JB03CS042	Student 43	Female	CET	REGULAR	2A	2A	2A	KARNATAKA		20752
CSE	V	2003	1JB03CS043	Student 44	Female	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA	0	
CSE	V	2003	1JB03CS044	Student 45	Female	CET	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	12713
CSE	V	2003	1JB03CS045	Student 46	Male	CET	REGULAR	GM	GM	GM	KARNATAKA	KODAGU	14437
CSE	V	2003	1JB03CS046	Student 47	Female	CET	REGULAR	ST	STGH	STH	KARNATAKA	VIJAYANAGARA	65816
CSE	V	2003	1JB03CS047	Student 48	Male	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS048	Student 49	Female	COMED-K	REGULAR	3A	3A	3A	KARNATAKA	BELLARY	33751
CSE	V	2003	1JB03CS049	Student 50	Male	CET	REGULAR	2A	2AGR	2AR	KARNATAKA	SHIVAMOGGA	29589
CSE	V	2003	1JB03CS050	Student 51	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	0	20464
CSE	V	2003	1JB03CS051	Student 52	Female	COMED-K	REGULAR	2A	2A	GM	KARNATAKA	BENGALURU URBAN	21687
CSE	V	2003	1JB03CS052	Student 53	Male	COMED-K	REGULAR	SC	SC	SC	KARNATAKA		21422
CSE	V	2003	1JB03CS053	Student 54	Male	CET	REGULAR	SC	SCG	SCG	KARNATAKA	BENGALURU RURAL	40107
CSE	V	2003	1JB03CS054	Student 55	Female	COMED-K	REGULAR	3B	3BG	3BG	KARNATAKA	BENGALURU URBAN	23726
CSE	V	2003	1JB03CS055	Student 56	Male	CET	REGULAR	2A	2AR	2AR	KARNATAKA	CHITRADURGA	23941
CSE	V	2003	1JB03CS056	Student 57	Male	COMED-K	REGULAR	2A	GM	GM	KARNATAKA	BENGALURU URBAN	20757
CSE	V	2003	1JB03CS057	Student 58	Male	MANAGEMENT	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	112100
CSE	V	2003	1JB03CS058	Student 59	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA		
CSE	V	2003	1JB03CS059	Student 60	Female	CET	REGULAR	ST	ST	ST	KARNATAKA		62660
CSE	V	2003	1JB03CS060	Student 61	Female	CET	REGULAR	3A	3AGR	GMR	KARNATAKA	RAMANAGARA	16356
CSE	V	2003	1JB03CS061	Student 62	Female	CET	REGULAR	3A	3AGR	GM	KARNATAKA	MANDYA	15055
CSE	V	2003	1JB03CS062	Student 63	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	0	
CSE	V	2003	1JB03CS063	Student 64	Female	COMED-K	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	24224
CSE	V	2003	1JB03CS064	Student 65	Male	CET	REGULAR	3B	3BGH	GMH	KARNATAKA	BELLARY	17300
CSE	V	2003	1JB03CS065	Student 66	Female	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS066	Student 67	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	PANJUB	21518
CSE	V	2003	1JB03CS067	Student 68	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	129692
CSE	V	2003	1JB03CS068	Student 69	Female	CET	REGULAR	3A	3AG	GM	KARNATAKA	BENGALURU URBAN	16345
CSE	V	2003	1JB03CS069	Student 70	Male	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA	BENGALURU RURAL	117655
CSE	V	2003	1JB03CS070	Student 71	Male	COMED-K	REGULAR	3B	GM	GM	KARNATAKA	BENGALURU URBAN	23946
CSE	V	2003	1JB03CS071	Student 72	Male	CET	REGULAR	SC	SCK	SCK	KARNATAKA	BIDAR	70082
CSE	V	2003	1JB03CS072	Student 73	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	DELHI	24913
CSE	V	2003	1JB03CS073	Student 74	Female	CET	REGULAR	SC	SCG	SCG	KARNATAKA	BENGALURU URBAN	48816
CSE	V	2003	1JB03CS074	Student 75	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	MADHYAPRADESH	21772
